label,checkpoint_num_env_steps,overlay_success_rate_100eps,overlay_p50_cube_to_target_m_100eps,overlay_final_cube_to_target_m_100eps,overlay_max_cube_lift_m_100eps,visual_mean_return,visual_success_rate,visual_target_hold_episode_rate,visual_mean_cube_to_target_m,visual_p50_cube_to_target_m,visual_final_cube_to_target_m,visual_min_cube_to_target_m,visual_max_cube_lift_m,visual_min_ee_to_cube_m,visual_gripper_close_near_cube_rate,visual_mean_action_jerk,gif_num_frames,gif,mp4,metrics,log,command,debug_frames_dir,debug_frame_count
best,1895487,0.49,0.07217726111412048,0.20496468860656022,0.47603678703308105,116.2878189086914,1.0,1.0,0.08791211992502213,0.006726989522576332,0.005947764962911606,0.0021063019521534443,0.3417688012123108,0.006727146916091442,0.86,0.08699431270360947,200,out/v14_checkpoint_diagnostics_20260603_010637/best_visual_seed0.gif,out/v14_checkpoint_diagnostics_20260603_010637/best_visual_seed0.mp4,out/v14_checkpoint_diagnostics_20260603_010637/best_visual_seed0_metrics.json,out/v14_checkpoint_diagnostics_20260603_010637/best_visual_seed0_stdout_stderr.log,out/v14_checkpoint_diagnostics_20260603_010637/best_visual_seed0_command.txt,out/v14_checkpoint_diagnostics_20260603_010637/best_visual_seed0_debug_frames,3
step_2450023,2450023,0.26,0.35538463294506073,0.3167820305889472,0.8162791132926941,-0.004346802830696106,0.0,0.0,0.40576037764549255,0.40576040744781494,0.40576040744781494,0.40576034784317017,1.1362135410308838e-07,0.3842357099056244,0.0,0.010843593627214432,200,out/v14_checkpoint_diagnostics_20260603_010637/step_2450023_visual_seed0.gif,out/v14_checkpoint_diagnostics_20260603_010637/step_2450023_visual_seed0.mp4,out/v14_checkpoint_diagnostics_20260603_010637/step_2450023_visual_seed0_metrics.json,out/v14_checkpoint_diagnostics_20260603_010637/step_2450023_visual_seed0_stdout_stderr.log,out/v14_checkpoint_diagnostics_20260603_010637/step_2450023_visual_seed0_command.txt,out/v14_checkpoint_diagnostics_20260603_010637/step_2450023_visual_seed0_debug_frames,3
final,2500010,0.34,0.33720625936985016,0.2749675484956242,0.4744545817375183,-0.003746266709640622,0.0,0.0,0.40576037764549255,0.40576040744781494,0.40576040744781494,0.40576034784317017,1.1362135410308838e-07,0.39880383014678955,0.0,0.009337046183645725,200,out/v14_checkpoint_diagnostics_20260603_010637/final_visual_seed0.gif,out/v14_checkpoint_diagnostics_20260603_010637/final_visual_seed0.mp4,out/v14_checkpoint_diagnostics_20260603_010637/final_visual_seed0_metrics.json,out/v14_checkpoint_diagnostics_20260603_010637/final_visual_seed0_stdout_stderr.log,out/v14_checkpoint_diagnostics_20260603_010637/final_visual_seed0_command.txt,out/v14_checkpoint_diagnostics_20260603_010637/final_visual_seed0_debug_frames,3
