sac train | per_lane_settle | env_step=5600/2200000 | active_train_lanes=0 settling_train_lanes=28 settling_eval_lanes=4 max_settle_remaining=20 per_lane_settle_steps=20
sac train | per_lane_settle | env_step=5600/2200000 | active_train_lanes=0 settling_train_lanes=28 settling_eval_lanes=4 max_settle_remaining=18 per_lane_settle_steps=20
sac train | per_lane_settle | env_step=5600/2200000 | active_train_lanes=0 settling_train_lanes=28 settling_eval_lanes=4 max_settle_remaining=16 per_lane_settle_steps=20
sac train | per_lane_settle | env_step=5600/2200000 | active_train_lanes=0 settling_train_lanes=28 settling_eval_lanes=4 max_settle_remaining=14 per_lane_settle_steps=20
sac train | per_lane_settle | env_step=5600/2200000 | active_train_lanes=0 settling_train_lanes=28 settling_eval_lanes=4 max_settle_remaining=12 per_lane_settle_steps=20
sac train | per_lane_settle | env_step=5600/2200000 | active_train_lanes=0 settling_train_lanes=28 settling_eval_lanes=4 max_settle_remaining=10 per_lane_settle_steps=20
sac train | per_lane_settle | env_step=5600/2200000 | active_train_lanes=0 settling_train_lanes=28 settling_eval_lanes=4 max_settle_remaining=8 per_lane_settle_steps=20
sac train | per_lane_settle | env_step=5600/2200000 | active_train_lanes=0 settling_train_lanes=28 settling_eval_lanes=4 max_settle_remaining=6 per_lane_settle_steps=20
sac train | per_lane_settle | env_step=5600/2200000 | active_train_lanes=0 settling_train_lanes=28 settling_eval_lanes=4 max_settle_remaining=4 per_lane_settle_steps=20
sac train | per_lane_settle | env_step=5600/2200000 | active_train_lanes=0 settling_train_lanes=28 settling_eval_lanes=4 max_settle_remaining=2 per_lane_settle_steps=20
sac train | env | env_step=6048/2200000 | replay=6048 warmup_remaining=0.000 active_train_lanes=28.000 settling_train_lanes=0.000 settling_eval_lanes=0.000 proprio_count=6048 proprio_mean_abs_max=0.498 proprio_std_min=0.001 reward_train_total=-2.176e-05 reward_train_shaped=0.002 reward_train_lift_progress=0.000 reward_train_reach_progress=0.000 reward_train_reach_dwell=0.009 reward_train_grasp_like=0.000 reward_train_tiny_lift_delta=0.000 reward_train_target_progress=0.000 reward_train_target_funnel_proximity=0.000 reward_train_target_funnel_progress=0.000 reward_train_target_funnel_band=0.000 reward_train_target_dwell=0.000 reward_train_target_overlift=0.000 reward_train_target_success=0.000 reward_train_target_away=0.000 reward_train_near_target_action=0.000 reward_train_target_z=0.000 reward_train_vertical_penalty=-0.006 reward_train_rotation_penalty=-9.980e-04 reward_train_reach=3.828e-05 reward_train_lift=0.000 reward_train_goal=0.000 reward_train_goal_fine=0.000 reward_train_action_rate=-1.044e-05 reward_train_joint_vel=-4.959e-05 curriculum_stage=0 curriculum_progress=0.003 gate_reach=6.614e-04 gate_grip=0.000 gate_lift=0.000 gate_eval_reach=0.000 gate_eval_reach_dwell=0.000 gate_eval_reach_consecutive=0 gate_reach_consecutive_passed=0 gate_eval_grip_attempt=0.000 gate_eval_grip_effect=0.000 gate_eval_blocked_grasp=0.000 gate_eval_target_approach=0.000 gate_eval_lift_2cm=0.000 gate_exp_reach=4 gate_exp_grip_attempt=0 gate_exp_grip_effect=0 gate_exp_lift=28 gate_eval_passed=0 gate_exposure_passed=0 gate_min_steps_passed=0 gate_held=1 gate_advanced=0 train_gripper_mean=-0.004 train_gripper_close=0.286 train_translation_norm=1.007 train_rotation_norm=0.998 train_gripper_abs=0.435 train_finger_p50_m=0.062 train_finger_blocked=0.266 train_close_near_empty=0.000 priority_uniform=218 priority_batch=38 priority_mean=0.041 protected=2400 bucket_reach=4 bucket_grip=0 bucket_lift=0 bucket_goal=0 bucket_target_20cm=0.000 bucket_target_10cm=0.000 bucket_target_5cm=0.000 bucket_target_2cm=0.000 rarity_target_20cm=1.000 rarity_target_10cm=1.000 rarity_target_5cm=1.000 rarity_target_2cm=1.000 bucket_grip_attempt=0 bucket_grip_effect=0
sac train | env | env_step=7056/2200000 | replay=7056 warmup_remaining=0.000 active_train_lanes=28.000 settling_train_lanes=0.000 settling_eval_lanes=0.000 proprio_count=7056 proprio_mean_abs_max=0.498 proprio_std_min=0.001 reward_train_total=1.107e-05 reward_train_shaped=0.004 reward_train_lift_progress=0.000 reward_train_reach_progress=0.000 reward_train_reach_dwell=0.011 reward_train_grasp_like=0.000 reward_train_tiny_lift_delta=0.000 reward_train_target_progress=0.000 reward_train_target_funnel_proximity=0.000 reward_train_target_funnel_progress=0.000 reward_train_target_funnel_band=0.000 reward_train_target_dwell=0.000 reward_train_target_overlift=0.000 reward_train_target_success=0.000 reward_train_target_away=0.000 reward_train_near_target_action=0.000 reward_train_target_z=0.000 reward_train_vertical_penalty=-0.006 reward_train_rotation_penalty=-0.001 reward_train_reach=7.199e-05 reward_train_lift=0.000 reward_train_goal=0.000 reward_train_goal_fine=0.000 reward_train_action_rate=-1.024e-05 reward_train_joint_vel=-5.068e-05 curriculum_stage=0 curriculum_progress=0.003 gate_reach=5.669e-04 gate_grip=0.000 gate_lift=0.000 gate_eval_reach=0.000 gate_eval_reach_dwell=0.000 gate_eval_reach_consecutive=0 gate_reach_consecutive_passed=0 gate_eval_grip_attempt=0.000 gate_eval_grip_effect=0.000 gate_eval_blocked_grasp=0.000 gate_eval_target_approach=0.000 gate_eval_lift_2cm=0.000 gate_exp_reach=4 gate_exp_grip_attempt=0 gate_exp_grip_effect=0 gate_exp_lift=28 gate_eval_passed=0 gate_exposure_passed=0 gate_min_steps_passed=0 gate_held=1 gate_advanced=0 train_gripper_mean=0.006 train_gripper_close=0.393 train_translation_norm=1.113 train_rotation_norm=1.020 train_gripper_abs=0.526 train_finger_p50_m=0.058 train_finger_blocked=0.370 train_close_near_empty=0.000 priority_uniform=218 priority_batch=38 priority_mean=0.040 protected=2400 bucket_reach=4 bucket_grip=0 bucket_lift=0 bucket_goal=0 bucket_target_20cm=0.000 bucket_target_10cm=0.000 bucket_target_5cm=0.000 bucket_target_2cm=0.000 rarity_target_20cm=1.000 rarity_target_10cm=1.000 rarity_target_5cm=1.000 rarity_target_2cm=1.000 bucket_grip_attempt=0 bucket_grip_effect=0
sac train | train | env_step=7812/2200000 | update=100 critic=0.256 actor=-1.171 alpha_loss=-18.840 alpha=0.200 q=0.290 entropy=4.703 td_error=0.705 replay=7812 lr_actor=3.33e-06 lr_critic=3.33e-06 lr_alpha=3.33e-06 proprio_count=7812 proprio_mean_abs_max=0.497 proprio_std_min=0.001 priority_uniform=218 priority_batch=38 priority_mean=0.040 protected=2400 bucket_reach=4 bucket_grip=0 bucket_lift=0 bucket_goal=0 bucket_target_20cm=0.000 bucket_target_10cm=0.000 bucket_target_5cm=0.000 bucket_target_2cm=0.000 rarity_target_20cm=1.000 rarity_target_10cm=1.000 rarity_target_5cm=1.000 rarity_target_2cm=1.000 bucket_grip_attempt=0 bucket_grip_effect=0
sac train | env | env_step=8064/2200000 | replay=8064 warmup_remaining=0.000 active_train_lanes=28.000 settling_train_lanes=0.000 settling_eval_lanes=0.000 proprio_count=8064 proprio_mean_abs_max=0.497 proprio_std_min=0.001 reward_train_total=-1.686e-07 reward_train_shaped=0.003 reward_train_lift_progress=0.000 reward_train_reach_progress=0.000 reward_train_reach_dwell=0.010 reward_train_grasp_like=0.000 reward_train_tiny_lift_delta=0.000 reward_train_target_progress=0.000 reward_train_target_funnel_proximity=0.000 reward_train_target_funnel_progress=0.000 reward_train_target_funnel_band=0.000 reward_train_target_dwell=0.000 reward_train_target_overlift=0.000 reward_train_target_success=0.000 reward_train_target_away=0.000 reward_train_near_target_action=0.000 reward_train_target_z=0.000 reward_train_vertical_penalty=-0.006 reward_train_rotation_penalty=-9.935e-04 reward_train_reach=5.840e-05 reward_train_lift=0.000 reward_train_goal=0.000 reward_train_goal_fine=0.000 reward_train_action_rate=-1.090e-05 reward_train_joint_vel=-4.767e-05 curriculum_stage=0 curriculum_progress=0.004 gate_reach=4.960e-04 gate_grip=0.000 gate_lift=0.000 gate_eval_reach=0.000 gate_eval_reach_dwell=0.000 gate_eval_reach_consecutive=0 gate_reach_consecutive_passed=0 gate_eval_grip_attempt=0.000 gate_eval_grip_effect=0.000 gate_eval_blocked_grasp=0.000 gate_eval_target_approach=0.000 gate_eval_lift_2cm=0.000 gate_exp_reach=4 gate_exp_grip_attempt=0 gate_exp_grip_effect=0 gate_exp_lift=28 gate_eval_passed=0 gate_exposure_passed=0 gate_min_steps_passed=0 gate_held=1 gate_advanced=0 train_gripper_mean=0.116 train_gripper_close=0.286 train_translation_norm=1.055 train_rotation_norm=0.993 train_gripper_abs=0.499 train_finger_p50_m=0.048 train_finger_blocked=0.351 train_close_near_empty=0.000 priority_uniform=218 priority_batch=38 priority_mean=0.040 protected=2400 bucket_reach=4 bucket_grip=0 bucket_lift=0 bucket_goal=0 bucket_target_20cm=0.000 bucket_target_10cm=0.000 bucket_target_5cm=0.000 bucket_target_2cm=0.000 rarity_target_20cm=1.000 rarity_target_10cm=1.000 rarity_target_5cm=1.000 rarity_target_2cm=1.000 bucket_grip_attempt=0 bucket_grip_effect=0
sac train | env | env_step=9072/2200000 | replay=9072 warmup_remaining=0.000 active_train_lanes=28.000 settling_train_lanes=0.000 settling_eval_lanes=0.000 proprio_count=9072 proprio_mean_abs_max=0.497 proprio_std_min=0.001 reward_train_total=5.364e-05 reward_train_shaped=0.007 reward_train_lift_progress=0.000 reward_train_reach_progress=0.000 reward_train_reach_dwell=0.014 reward_train_grasp_like=0.000 reward_train_tiny_lift_delta=0.000 reward_train_target_progress=0.000 reward_train_target_funnel_proximity=0.000 reward_train_target_funnel_progress=0.000 reward_train_target_funnel_band=0.000 reward_train_target_dwell=0.000 reward_train_target_overlift=0.000 reward_train_target_success=0.000 reward_train_target_away=0.000 reward_train_near_target_action=0.000 reward_train_target_z=0.000 reward_train_vertical_penalty=-0.006 reward_train_rotation_penalty=-9.773e-04 reward_train_reach=1.090e-04 reward_train_lift=0.000 reward_train_goal=0.000 reward_train_goal_fine=0.000 reward_train_action_rate=-1.069e-05 reward_train_joint_vel=-4.467e-05 curriculum_stage=0 curriculum_progress=0.004 gate_reach=4.409e-04 gate_grip=0.000 gate_lift=0.000 gate_eval_reach=0.000 gate_eval_reach_dwell=0.000 gate_eval_reach_consecutive=0 gate_reach_consecutive_passed=0 gate_eval_grip_attempt=0.000 gate_eval_grip_effect=0.000 gate_eval_blocked_grasp=0.000 gate_eval_target_approach=0.000 gate_eval_lift_2cm=0.000 gate_exp_reach=4 gate_exp_grip_attempt=0 gate_exp_grip_effect=0 gate_exp_lift=28 gate_eval_passed=0 gate_exposure_passed=0 gate_min_steps_passed=0 gate_held=1 gate_advanced=0 train_gripper_mean=-0.156 train_gripper_close=0.464 train_translation_norm=1.059 train_rotation_norm=0.977 train_gripper_abs=0.584 train_finger_p50_m=0.046 train_finger_blocked=0.421 train_close_near_empty=0.000 priority_uniform=218 priority_batch=38 priority_mean=0.040 protected=2400 bucket_reach=4 bucket_grip=0 bucket_lift=0 bucket_goal=0 bucket_target_20cm=0.000 bucket_target_10cm=0.000 bucket_target_5cm=0.000 bucket_target_2cm=0.000 rarity_target_20cm=1.000 rarity_target_10cm=1.000 rarity_target_5cm=1.000 rarity_target_2cm=1.000 bucket_grip_attempt=0 bucket_grip_effect=0
