sac train | train | env_step=549/2024 | update=140 critic=0.004 actor=-2.429 alpha_loss=-19.398 alpha=0.192 q=1.521 entropy=4.748 replay=549 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=564/2024 | update=145 critic=0.006 actor=-2.400 alpha_loss=-19.425 alpha=0.191 q=1.501 entropy=4.754 replay=564 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=579/2024 | update=150 critic=0.008 actor=-2.452 alpha_loss=-19.472 alpha=0.191 q=1.531 entropy=4.772 replay=579 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=594/2024 | update=155 critic=0.004 actor=-2.452 alpha_loss=-19.437 alpha=0.191 q=1.556 entropy=4.740 replay=594 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=609/2024 | update=160 critic=0.002 actor=-2.488 alpha_loss=-19.312 alpha=0.191 q=1.586 entropy=4.654 replay=609 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=624/2024 | update=165 critic=0.004 actor=-2.441 alpha_loss=-19.465 alpha=0.190 q=1.537 entropy=4.735 replay=624 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=639/2024 | update=170 critic=0.004 actor=-2.512 alpha_loss=-19.493 alpha=0.190 q=1.614 entropy=4.742 replay=639 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | env | env_step=645/2024 | replay=645
sac train | train | env_step=654/2024 | update=175 critic=0.006 actor=-2.495 alpha_loss=-19.255 alpha=0.190 q=1.602 entropy=4.588 replay=654 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=669/2024 | update=180 critic=0.004 actor=-2.477 alpha_loss=-19.645 alpha=0.189 q=1.614 entropy=4.812 replay=669 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
